side,metric,before,after,delta,forehead_before,forehead_after,forehead_delta,delta_minus_forehead,correction_status
left_cheek,L_mean,76.20777893066406,66.72052764892578,-9.487251281738281,83.17720794677734,82.16845703125,-1.0087509155273438,-8.478500366210938,unvalidated_forehead_control
left_cheek,L_median,75.686279296875,66.66666412353516,-9.019615173339844,83.13725280761719,82.35294342041016,-0.7843093872070312,-8.235305786132812,unvalidated_forehead_control
left_cheek,a_mean,12.963367462158203,16.096084594726562,3.1327171325683594,9.57546329498291,9.337890625,-0.23757266998291016,3.3702898025512695,unvalidated_forehead_control
left_cheek,a_median,14.0,16.0,2.0,10.0,9.0,-1.0,3.0,unvalidated_forehead_control
left_cheek,b_mean,19.48444366455078,17.660470962524414,-1.8239727020263672,16.478858947753906,13.980716705322266,-2.4981422424316406,0.6741695404052734,unvalidated_forehead_control
left_cheek,b_median,21.0,18.0,-3.0,17.0,14.0,-3.0,0.0,unvalidated_forehead_control
right_cheek,L_mean,80.20783233642578,78.27740478515625,-1.9304275512695312,83.17720794677734,82.16845703125,-1.0087509155273438,-0.9216766357421875,unvalidated_forehead_control
right_cheek,L_median,80.78431701660156,78.4313735961914,-2.3529434204101562,83.13725280761719,82.35294342041016,-0.7843093872070312,-1.568634033203125,unvalidated_forehead_control
right_cheek,a_mean,10.774618148803711,11.741238594055176,0.9666204452514648,9.57546329498291,9.337890625,-0.23757266998291016,1.204193115234375,unvalidated_forehead_control
right_cheek,a_median,11.0,12.0,1.0,10.0,9.0,-1.0,2.0,unvalidated_forehead_control
right_cheek,b_mean,18.643510818481445,17.73064422607422,-0.9128665924072266,16.478858947753906,13.980716705322266,-2.4981422424316406,1.585275650024414,unvalidated_forehead_control
right_cheek,b_median,18.0,18.0,0.0,17.0,14.0,-3.0,3.0,unvalidated_forehead_control
