phase,side,pixels,L_mean,L_median,a_mean,a_median,a_std,a_p75,a_p90,a_p95,a_p99,b_mean,b_median,b_std,a_ratio_ge_20,a_ratio_ge_25,a_ratio_ge_30,a_ratio_ge_40,a_ratio_ge_50,a_ratio_ge_60
before,left_cheek,7321,76.51205444335938,76.07843017578125,12.187952041625977,12.0,1.2708244323730469,13.0,14.0,14.0,14.0,19.89974021911621,21.0,2.1381852626800537,0.0,0.0,0.0,0.0,0.0,0.0
after,left_cheek,9506,67.28955078125,67.05882263183594,16.112455368041992,16.0,1.184032917022705,17.0,17.0,18.0,19.0,17.8204288482666,18.0,0.6900507807731628,0.0,0.0,0.0,0.0,0.0,0.0
before,right_cheek,10211,79.5274658203125,80.0,10.915483474731445,11.0,1.3189764022827148,12.0,12.0,13.0,13.0,19.47556495666504,19.0,3.3263497352600098,0.0,0.0,0.0,0.0,0.0,0.0
after,right_cheek,12050,79.38947296142578,80.0,11.601908683776855,12.0,0.9275566935539246,12.0,13.0,13.0,14.0,16.975685119628906,17.0,2.0949628353118896,0.0,0.0,0.0,0.0,0.0,0.0
before,forehead,6724,83.88681030273438,83.52941131591797,9.154074668884277,9.0,0.5197437405586243,9.0,10.0,10.0,10.0,15.81588363647461,16.0,1.2914204597473145,0.0,0.0,0.0,0.0,0.0,0.0
after,forehead,8501,82.68780517578125,82.35294342041016,9.336901664733887,10.0,0.7611550092697144,10.0,10.0,10.0,10.0,13.857545852661133,15.0,1.6468071937561035,0.0,0.0,0.0,0.0,0.0,0.0
