phase,side,pixels,L_mean,L_median,a_mean,a_median,a_std,a_p75,a_p90,a_p95,a_p99,b_mean,b_median,b_std,a_ratio_ge_20,a_ratio_ge_25,a_ratio_ge_30,a_ratio_ge_40,a_ratio_ge_50,a_ratio_ge_60
before,left,3717,73.77886962890625,74.50980377197266,13.94404125213623,14.0,2.145899772644043,15.0,17.0,17.0,20.0,18.220876693725586,18.0,1.430448293685913,0.013451708366962604,0.0053806833467850415,0.0,0.0,0.0,0.0
after,left,3162,74.27192687988281,71.37255096435547,13.61701488494873,17.0,5.795350551605225,17.0,18.0,18.0,19.0,13.576217651367188,15.0,6.047047138214111,0.0,0.0,0.0,0.0,0.0,0.0
before,right,6006,72.35320281982422,73.33333587646484,13.423409461975098,14.0,2.0976920127868652,15.0,15.0,16.0,18.0,18.00599479675293,19.0,2.8822426795959473,0.0,0.0,0.0,0.0,0.0,0.0
after,right,7742,67.99195861816406,66.66666412353516,15.802376747131348,16.0,3.3452744483947754,18.0,19.0,19.0,20.0,16.967838287353516,18.0,3.10125732421875,0.01834151382071816,0.0,0.0,0.0,0.0,0.0
