phase,side,pixels,L_mean,L_median,a_mean,a_median,a_std,a_p75,a_p90,a_p95,a_p99,b_mean,b_median,b_std,a_ratio_ge_20,a_ratio_ge_25,a_ratio_ge_30,a_ratio_ge_40,a_ratio_ge_50,a_ratio_ge_60
before,left_cheek,3673,60.13559341430664,58.82353210449219,17.597332000732422,18.0,1.420883297920227,19.0,19.0,19.0,20.0,15.928668975830078,16.0,1.1798876523971558,0.03130955622107269,0.0,0.0,0.0,0.0,0.0
after,left_cheek,3682,61.80091857910156,60.0,17.87452507019043,18.0,1.9062798023223877,19.0,20.0,21.0,21.0,16.6075496673584,17.0,0.7213493585586548,0.21482889733840305,0.0,0.0,0.0,0.0,0.0
before,right_cheek,3113,82.06861877441406,81.96078491210938,10.688082695007324,11.0,1.0774873495101929,12.0,12.0,12.0,12.0,10.54159927368164,10.0,0.8408275246620178,0.0,0.0,0.0,0.0,0.0,0.0
after,right_cheek,3285,83.15922546386719,83.13725280761719,12.972298622131348,13.0,1.310359001159668,14.0,14.0,15.0,15.0,12.674277305603027,13.0,0.5570842623710632,0.0,0.0,0.0,0.0,0.0,0.0
before,forehead,2305,80.14002227783203,80.0,9.14143180847168,9.0,0.5533934831619263,9.0,10.0,10.0,11.0,13.637310028076172,14.0,1.0564935207366943,0.0,0.0,0.0,0.0,0.0,0.0
after,forehead,2332,82.95899963378906,82.74510192871094,9.40651798248291,9.0,0.5133805274963379,10.0,10.0,10.0,10.0,16.23198890686035,16.0,0.9434011578559875,0.0,0.0,0.0,0.0,0.0,0.0
