region,id,label,unit,before,after,delta,before_pixels,after_pixels,status,note
eye_texture,screen_left_lower_eye_skin_highpass_median_pct,画面左目の下の細かな質感コントラスト（中央値）,局所L*比 %,0.3349822759628296,1.6342029571533203,1.2992206811904907,1524,1626,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。細かな凹凸・線・メイク境界・ピント・圧縮ノイズをまとめて拾う画像指標で、乾燥・シワの診断ではない。 元画像の対象1524画素（必要100画素以上）。
eye_texture,screen_left_lower_eye_skin_highpass_p90_pct,画面左目の下の細かな質感コントラスト（p90）,局所L*比 %,0.8294658660888672,7.001926422119141,6.172460556030273,1524,1626,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。局所的に強く見える細線や粒状感の候補で、乾燥・シワの診断ではない。 元画像の対象1524画素（必要100画素以上）。
eye_texture,screen_right_lower_eye_skin_highpass_median_pct,画面右目の下の細かな質感コントラスト（中央値）,局所L*比 %,0.18428246676921844,1.491732120513916,1.3074496537446976,1629,1727,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。細かな凹凸・線・メイク境界・ピント・圧縮ノイズをまとめて拾う画像指標で、乾燥・シワの診断ではない。 元画像の対象1629画素（必要100画素以上）。
eye_texture,screen_right_lower_eye_skin_highpass_p90_pct,画面右目の下の細かな質感コントラスト（p90）,局所L*比 %,0.5513306856155396,8.151851654052734,7.600520968437195,1629,1727,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。局所的に強く見える細線や粒状感の候補で、乾燥・シワの診断ではない。 元画像の対象1629画素（必要100画素以上）。
