side,metric,before,after,delta,forehead_before,forehead_after,forehead_delta,delta_minus_forehead,correction_status
left_cheek,L_mean,72.63429260253906,69.91752624511719,-2.716766357421875,79.4560775756836,78.60669708251953,-0.8493804931640625,-1.8673858642578125,unvalidated_forehead_control
left_cheek,L_median,74.11764526367188,70.98039245605469,-3.1372528076171875,79.60784149169922,79.21569061279297,-0.39215087890625,-2.7451019287109375,unvalidated_forehead_control
left_cheek,a_mean,22.42477798461914,25.894149780273438,3.469371795654297,18.744714736938477,18.932069778442383,0.18735504150390625,3.2820167541503906,unvalidated_forehead_control
left_cheek,a_median,22.0,25.0,3.0,19.0,19.0,0.0,3.0,unvalidated_forehead_control
left_cheek,b_mean,16.23641014099121,18.17270278930664,1.9362926483154297,18.377235412597656,19.93838882446289,1.5611534118652344,0.3751392364501953,unvalidated_forehead_control
left_cheek,b_median,16.0,18.0,2.0,18.0,20.0,2.0,0.0,unvalidated_forehead_control
right_cheek,L_mean,80.92599487304688,78.48094177246094,-2.4450531005859375,79.4560775756836,78.60669708251953,-0.8493804931640625,-1.595672607421875,unvalidated_forehead_control
right_cheek,L_median,80.78431701660156,77.64705657958984,-3.1372604370117188,79.60784149169922,79.21569061279297,-0.39215087890625,-2.7451095581054688,unvalidated_forehead_control
right_cheek,a_mean,16.41806411743164,19.82478141784668,3.406717300415039,18.744714736938477,18.932069778442383,0.18735504150390625,3.219362258911133,unvalidated_forehead_control
right_cheek,a_median,16.0,20.0,4.0,19.0,19.0,0.0,4.0,unvalidated_forehead_control
right_cheek,b_mean,9.479999542236328,12.142678260803223,2.6626787185668945,18.377235412597656,19.93838882446289,1.5611534118652344,1.1015253067016602,unvalidated_forehead_control
right_cheek,b_median,10.0,12.0,2.0,18.0,20.0,2.0,0.0,unvalidated_forehead_control
