phase,side,pixels,L_mean,L_median,a_mean,a_median,a_std,a_p75,a_p90,a_p95,a_p99,b_mean,b_median,b_std,a_ratio_ge_20,a_ratio_ge_25,a_ratio_ge_30,a_ratio_ge_40,a_ratio_ge_50,a_ratio_ge_60
before,left_cheek,791,72.63429260253906,74.11764526367188,22.42477798461914,22.0,1.3290845155715942,23.0,24.0,25.0,26.0,16.23641014099121,16.0,1.1839590072631836,1.0,0.07458912768647281,0.0,0.0,0.0,0.0
after,left_cheek,718,69.91752624511719,70.98039245605469,25.894149780273438,25.0,1.8351092338562012,27.0,29.0,30.0,30.0,18.17270278930664,18.0,0.5311795473098755,1.0,0.7576601671309192,0.06824512534818941,0.0,0.0,0.0
before,right_cheek,775,80.92599487304688,80.78431701660156,16.41806411743164,16.0,1.4960365295410156,17.0,19.0,19.0,20.0,9.479999542236328,10.0,1.6150261163711548,0.04516129032258064,0.0,0.0,0.0,0.0,0.0
after,right_cheek,799,78.48094177246094,77.64705657958984,19.82478141784668,20.0,2.002960443496704,21.0,22.0,24.0,25.0,12.142678260803223,12.0,0.7213312387466431,0.6032540675844806,0.011264080100125156,0.0,0.0,0.0,0.0
before,forehead,615,79.4560775756836,79.60784149169922,18.744714736938477,19.0,1.0287890434265137,19.0,20.0,20.0,21.0,18.377235412597656,18.0,0.7396783232688904,0.23902439024390243,0.0,0.0,0.0,0.0,0.0
after,forehead,633,78.60669708251953,79.21569061279297,18.932069778442383,19.0,0.9929283857345581,20.0,20.0,20.0,21.0,19.93838882446289,20.0,0.37831664085388184,0.3791469194312796,0.0,0.0,0.0,0.0,0.0
