side,frame_id,time_seconds,pixels,mean_L,dark_line_mean_L,relative_line_mean,relative_line_p90,area_above_1pct,pitch,yaw,roll
before,frame_0000033000ms,33.0,4089,78.99122619628906,0.34516027569770813,0.43184763193130493,1.5742933750152588,15.064808021521154,-6.588572086500787,2.393039627322164,1.3428095573433791
before,frame_0000033500ms,33.5,4089,79.04008483886719,0.3170085549354553,0.3986894190311432,1.447156310081482,14.111029591587185,-8.431990407944589,1.7629225302575957,1.3468635613682403
before,frame_0000034000ms,34.0,4089,79.04511260986328,0.4002475142478943,0.5006011128425598,1.7662721872329712,16.434336023477623,-8.152198696679749,1.8623164937634569,1.2966826477205693
before,frame_0000034500ms,34.5,4089,78.80330657958984,0.3514390289783478,0.4438299536705017,1.625327706336975,15.82293959403277,-7.941080575637531,1.3363610267543953,1.4609353205558222
before,frame_0000035000ms,35.0,4089,78.95101928710938,0.34165823459625244,0.4325051009654999,1.588903784751892,15.945218879921741,-8.421213512912034,1.3368887655926656,1.5572990999167917
before,frame_0000036000ms,36.0,4089,78.8809585571289,0.3406996428966522,0.4305477440357208,1.6030430793762207,16.678894595255564,-7.532963828962466,1.543066070899374,1.1252634043753882
after,frame_0001065550ms,1065.55,4089,81.39402770996094,0.4733213484287262,0.5839992165565491,2.14538311958313,20.396184886280263,-7.901692738880062,1.5927367160377914,1.4146059008344307
after,frame_0001066050ms,1066.05,4089,81.43970489501953,0.449824720621109,0.5535596013069153,1.9792853593826294,19.613597456590853,-7.895480812653026,1.8424128487886502,1.1737687014364968
after,frame_0001067050ms,1067.05,4089,81.44314575195312,0.5169514417648315,0.6346020102500916,2.5013816356658936,21.325507459036437,-7.753870448679672,1.8131916339843526,1.072971328897986
after,frame_0001067550ms,1067.55,4089,81.4220962524414,0.44589704275131226,0.5506166219711304,2.0277185440063477,20.665199315236,-7.85869907751179,2.0296971404471296,1.146587720597134
after,frame_0001068050ms,1068.05,4089,81.42835998535156,0.5227104425430298,0.6453456282615662,2.3983683586120605,23.208608461726584,-7.315882191212449,1.8674092002892715,1.3872946598343188
after,frame_0001068550ms,1068.55,4089,81.39765930175781,0.3989790976047516,0.49323275685310364,1.768202304840088,18.733186598190265,-7.741122910463678,1.8520260701897657,0.637835177690056
after,frame_0001069050ms,1069.05,4089,81.43411254882812,0.4129795730113983,0.5116021633148193,1.9759243726730347,18.904377598434824,-7.246787396524346,1.318045770422103,0.8745215288397642
