phase,side,pixels,L_mean,L_median,a_mean,a_median,a_std,a_p75,a_p90,a_p95,a_p99,b_mean,b_median,b_std,a_ratio_ge_20,a_ratio_ge_25,a_ratio_ge_30,a_ratio_ge_40,a_ratio_ge_50,a_ratio_ge_60
before,left_cheek,1134,73.10198211669922,74.11764526367188,14.141093254089355,14.0,1.4893583059310913,15.0,17.0,17.0,18.0,16.791006088256836,17.0,1.1741889715194702,0.0,0.0,0.0,0.0,0.0,0.0
after,left_cheek,1840,69.79944610595703,69.80392456054688,16.547283172607422,16.0,1.4037771224975586,18.0,19.0,19.0,19.0,14.909782409667969,15.0,1.191232442855835,0.0,0.0,0.0,0.0,0.0,0.0
before,right_cheek,1504,72.42933654785156,73.33333587646484,14.370346069335938,15.0,1.0819841623306274,15.0,15.0,16.0,16.0,17.34375,17.0,0.9280216693878174,0.0,0.0,0.0,0.0,0.0,0.0
after,right_cheek,2526,70.08057403564453,70.5882339477539,16.454870223999023,17.0,1.3038641214370728,17.0,18.0,18.0,19.0,13.571258544921875,14.0,1.3800227642059326,0.0,0.0,0.0,0.0,0.0,0.0
before,forehead,876,84.23403930664062,84.70588684082031,10.664383888244629,11.0,1.1846280097961426,11.0,12.0,13.0,13.0,8.401826858520508,9.0,1.6106654405593872,0.0,0.0,0.0,0.0,0.0,0.0
after,forehead,1735,81.2915267944336,81.17647552490234,10.731411933898926,11.0,1.2943766117095947,12.0,12.0,13.0,13.0,10.058789253234863,10.0,1.6615681648254395,0.0,0.0,0.0,0.0,0.0,0.0
